date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-08-16,3.43,3.48,3.47,3.42,928312.94,0.02,0.58,3.496,3.515,3.545,916485.4,960985.12,1180387.91
2018-08-15,3.5,3.51,3.45,3.45,997123.38,-0.06,-1.71,3.514,3.517,3.544,936324.12,1022439.64,1174838.37
2018-08-14,3.5,3.51,3.51,3.47,793337.81,0.01,0.29,3.532,3.529,3.545,904319.16,1059515.95,1182179.77
2018-08-13,3.52,3.53,3.5,3.46,1187737.75,-0.04,-1.13,3.54,3.54,3.544,961226.1,1117911.86,1178740.42
2018-08-10,3.56,3.57,3.55,3.53,675915.12,-0.01,-0.28,3.544,3.55,3.544,978350.12,1134673.48,1177329.25
2018-08-09,3.52,3.57,3.56,3.51,1027506.56,0.03,0.85,3.534,3.551,3.545,1005484.84,1141488.69,1210125.35
2018-08-08,3.55,3.56,3.54,3.52,837098.56,-0.02,-0.56,3.52,3.552,3.556,1108555.15,1149406.34,1235347.42
2018-08-07,3.51,3.56,3.55,3.5,1077872.5,0.04,1.14,3.526,3.558,3.565,1214712.74,1161983.56,1246866.83
2018-08-06,3.49,3.55,3.52,3.49,1273357.88,0.03,0.86,3.54,3.562,3.574,1274597.61,1233467.66,1253808.24
2018-08-03,3.49,3.53,3.5,3.47,811588.69,0.01,0.29,3.556,3.57,3.586,1290996.84,1290881.68,1269917.37
2018-08-02,3.55,3.56,3.49,3.47,1542858.12,-0.07,-1.97,3.568,3.575,3.591,1277492.55,1399790.71,1275866.15
2018-08-01,3.62,3.66,3.57,3.56,1367886.5,-0.05,-1.38,3.584,3.571,3.595,1190257.53,1327237.1,1254938.2
2018-07-31,3.59,3.63,3.62,3.56,1377296.88,0.02,0.56,3.59,3.561,3.594,1109254.39,1304843.59,1226821.45
2018-07-30,3.56,3.6,3.6,3.55,1355354.0,0.04,1.12,3.584,3.548,3.588,1192337.71,1239568.98,1215187.59
2018-07-27,3.56,3.57,3.56,3.54,744067.25,-0.01,-0.28,3.584,3.537,3.582,1290766.51,1219985.01,1220321.5
2018-07-26,3.6,3.62,3.57,3.55,1106683.0,-0.02,-0.56,3.582,3.538,3.585,1522088.86,1278762.01,1222312.92
2018-07-25,3.61,3.62,3.6,3.58,962870.81,0.0,0.0,3.558,3.56,3.584,1464216.67,1321288.5,1222185.21
2018-07-24,3.58,3.64,3.59,3.57,1792713.5,0.0,0.0,3.532,3.571,3.585,1500432.79,1331750.1,1242693.58
2018-07-23,3.53,3.61,3.6,3.51,1847498.0,0.05,1.41,3.512,3.585,3.588,1286800.24,1274148.81,1228994.69
2018-07-20,3.45,3.58,3.55,3.44,1900679.0,0.1,2.9,3.49,3.601,3.594,1149203.51,1248953.06,1186507.48
2018-07-19,3.47,3.47,3.45,3.43,817322.06,-0.01,-0.29,3.494,3.606,3.603,1035435.16,1151941.59,1123243.2
2018-07-18,3.49,3.52,3.47,3.46,1143951.38,-0.01,-0.29,3.562,3.619,3.617,1178360.33,1182639.31,1130102.98
2018-07-17,3.5,3.5,3.49,3.46,724550.75,-0.01,-0.29,3.61,3.626,3.631,1163067.4,1148799.32,1122195.38
2018-07-16,3.56,3.56,3.49,3.48,1159514.38,-0.07,-1.97,3.658,3.627,3.644,1261497.38,1190806.21,1253632.51
2018-07-13,3.62,3.62,3.57,3.55,1331837.25,-0.04,-1.11,3.712,3.626,3.657,1348702.6,1220657.98,1260356.05
2018-07-12,3.71,3.8,3.79,3.7,1531947.88,0.07,1.88,3.718,3.631,3.665,1268448.01,1165863.82,1241834.74
2018-07-11,3.67,3.73,3.71,3.66,1067486.75,-0.02,-0.54,3.676,3.608,3.662,1186918.29,1123081.92,1202045.52
2018-07-10,3.76,3.77,3.73,3.71,1216700.62,-0.02,-0.53,3.642,3.599,3.664,1134531.24,1153637.07,1174314.22
2018-07-09,3.61,3.77,3.76,3.6,1595540.5,0.16,4.44,3.596,3.591,3.664,1120115.04,1183840.57,1143759.57
2018-07-06,3.58,3.63,3.6,3.56,930564.31,0.02,0.56,3.54,3.586,3.663,1092613.36,1124061.91,1120149.07
2018-07-05,3.53,3.59,3.58,3.52,1124299.25,0.05,1.42,3.544,3.6,3.672,1063279.62,1094544.81,1115733.79
2018-07-04,3.5,3.55,3.54,3.49,805551.5,0.03,0.85,3.54,3.615,3.681,1059245.55,1077566.66,1095418.14
2018-07-03,3.46,3.51,3.5,3.46,1144619.62,0.03,0.86,3.556,3.635,3.694,1172742.9,1095591.45,1087847.66
2018-07-02,3.6,3.61,3.48,3.44,1458032.12,-0.13,-3.6,3.586,3.66,3.708,1247566.1,1316458.81,1076920.31
2018-06-29,3.57,3.62,3.62,3.56,783895.62,0.06,1.69,3.632,3.687,3.722,1155510.45,1300054.11,1060796.49
2018-06-28,3.59,3.61,3.56,3.55,1104128.88,-0.06,-1.66,3.656,3.699,3.73,1125810.0,1317805.66,1096749.6
2018-06-27,3.64,3.65,3.62,3.56,1373038.25,-0.03,-0.82,3.69,3.716,3.74,1095887.76,1281009.13,1087285.4
2018-06-26,3.68,3.68,3.65,3.6,1518735.62,-0.05,-1.35,3.714,3.728,3.75,1018440.0,1194991.38,1080275.45
2018-06-25,3.75,3.76,3.71,3.68,997753.88,-0.03,-0.8,3.734,3.736,3.759,1385351.53,1103678.56,1041334.96
2018-06-22,3.72,3.74,3.74,3.71,635393.38,0.0,0.0,3.742,3.739,3.765,1444597.78,1116236.24,1034282.44
2018-06-21,3.73,3.76,3.73,3.72,954517.69,0.0,0.0,3.742,3.743,3.768,1509801.32,1136922.76,1045281.53
2018-06-20,3.75,3.75,3.74,3.72,985799.44,-0.02,-0.53,3.742,3.747,3.773,1466130.49,1113269.62,1042592.36
2018-06-19,3.73,3.78,3.75,3.71,3353293.25,0.0,0.0,3.742,3.752,3.78,1371542.75,1080103.86,1048777.12
2018-06-15,3.73,3.76,3.75,3.72,1293985.12,0.02,0.54,3.738,3.756,3.788,822005.6,837381.81,926638.66
2018-06-14,3.71,3.74,3.74,3.7,961411.12,0.01,0.27,3.736,3.757,3.795,787874.7,821538.87,910412.14
2018-06-13,3.74,3.74,3.73,3.7,736163.5,-0.01,-0.27,3.744,3.761,3.8,764044.2,875693.54,892529.21
2018-06-12,3.73,3.75,3.74,3.72,512860.75,0.0,0.0,3.752,3.764,3.806,760408.76,893561.67,896167.79
2018-06-11,3.73,3.74,3.73,3.71,605607.5,-0.01,-0.27,3.762,3.772,3.814,788664.97,965559.52,910090.44
2018-06-08,3.77,3.78,3.74,3.73,1123330.62,-0.04,-1.06,3.774,3.781,3.822,852758.02,978991.35,953659.71
